sample,sampleLabel,study,year,studyLabel,sampleSize,ageStartMin,ageStartMax,ageEndMin,ageEndMax,registry,maxTimePointsPerChild,measurementOccasions,measure,contentDesign,upwardDownwardExtension,score,scoring,developmentalScaling,country,continent,note
addHealth,National Longitudinal Study of Adolescent to Adult Health (Add Health),chenInPressPM,in press,"Chen et al. (in press, Psych Methods)",6004,12,19,18,26,FALSE,3,15;16;22,9 items on nonviolent delinquency behaviors (see Table 2); Four of these nine items were only administered at the first and second waves in the study,constructValid,n/a,raw,mnlfa,TRUE,United States,North America,
alspac,Avon Longitudinal Study of Parents and Children (ALSPAC),speyer2022,2022,Speyer et al. (2022),11049,4,4,16,16,FALSE,7,4;7;8;9;11;13;16,SDQ (parent report),sameMeasure,unclear,raw,sum,FALSE,United Kingdom,Europe,unclear whether they used the age-relevant versions of the parent-report SDQ (4-10; 11-17: items are similar but there are some slight wording differences)
cambridge,Cambridge Study in Delinquent Development (CSDD),farrington,2023,Farrington et al. (2023),411,10,10,61,61,TRUE,,,criminal records,sameMeasure,n/a,raw,sum,FALSE,United Kingdom,Europe,
cdp,Child Development Project (CDP),petersen2025,2025,Petersen et al. (2015),585,5,5,27,27,FALSE,20,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;27,CBCL; TRF; YSR; YASR,constructValid,n/a,raw,proportion,FALSE,United States,North America,
dunedin,Dunedin Multidisciplinary Health and Development Study,odgers2008,2008,Odgers et al. (2008),1037,7,7,26,26,FALSE,8,7;9;11;13;15;18;21;26,6 symptoms of DSM-IV conduct disorder,ageCommon,n/a,raw,sum,FALSE,New Zealand,Oceania,
mcs,UK Millenium Cohort Study,zhai2026,2026,Zhai et al. (2026),11881,3,3,17,17,FALSE,6,3;5;7;11;14;17,"5 items from the SDQ (parent report?); did not appear to use the age-adapted versions of the SDQ; one of the items listed (""steals from home, school or elsewhere"") is not included in the age 2-4 version, suggesting downward extension",sameMeasure,downward,raw,notReported,FALSE,United Kingdom,Europe,"unclear who completed the SDQ ratings; presumably, the parent"
mls,Michigan Longitudinal Study (MLS),gornik2023,2023,Gornik et al. (2023),1069,3,5,15,17,FALSE,10,4;7;10;11;12;13;14;15;16;17,CBCL; TRF; YSR,sameMeasure,downward,raw,sum,FALSE,United States,North America,"unclear number of timepoints per participant; at initial recruitment, recruited 3-5-year-old sons of men with drunk-driving conviction; also recruited siblings of the child (within +/? 8 years of age); three successive cohorts; third cohort began with the target male child at age 6-8; ""In-person data collection occurred at three year intervals, supplemented by annual child and teacher report assessments beginning at age 11"" (e.g., 3-5; 6-8; 9-11; 11; 12; 13; 14; 15; 16; 17)"
montrealBoys,Montreal Boys Study,broidy2003,2003,Broidy et al. (2003),1037,6,6,15,15,FALSE,7,6;10;11;12;13;14;15,Social Behavior Questionnaire (teacher-report),ageCommon,n/a,raw,mean,FALSE,Canada,North America,
mscr,Mannheim Study of Children at Risk,sacuInPress,in press,Sacu et al. (in press),317,8,8,33,33,FALSE,8,8;11;15;19;22;23;25;33,CBCL; YSR; YASR; ASR,constructValid,n/a,raw,proportion,FALSE,Germany,Europe,
mtsfgcls,MTSFGCLS,leBlanc2021,2021,LeBlanc (2021),928,8,8,61,61,TRUE,,,official offending/criminal records,constructValid,n/a,raw,sum,FALSE,Canada,North America,
nlscya,NLSY79 Child and Young Adult (NLSCYA),chenInPressMBR,in press,"Chen et al. (in press, MBR)",1223,5,7,9,12,FALSE,3,6;8;10,BPI (Table 3),sameMeasure,n/a,raw,mnlfa,TRUE,United States,North America,
pittsburghYouth,Pittsburgh Youth Study (PYS),keijsers2012,2012,Keijsers et al. (2012),503,7,7,19,19,FALSE,13,7;8;9;10;11;12;13;14;15;16;17;18;19,"General Delinquency Seriousness Classification (based on combined reports of parents on CBCL, teacher on TRF, and child self-report on SRA/SRD)",constructValid,n/a,integrated,sum,FALSE,United States,North America,behavior problem severity coded from aggregated info across multiple scales
projectAchieve,Project Achieve,shi2020,2020,Shi et al. (2020),784,6,7,17,18,FALSE,11,6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5;15.5;17.5,SDQ (teacher-report),sameMeasure,unclear,raw,mean,FALSE,United States,North America,unclear whether they used the age-relevant versions of the parent-report SDQ (4-10; 11-17: items are similar but there are some slight wording differences)
raine,Raine Study,bista2025,2025,Bista et al. (2025),2393,5,5,17,17,FALSE,5,5;8;10;14;17,CBCL,sameMeasure,n/a,tScores,tScores,FALSE,Australia,Oceania,
seccyd,NICHD Study of Early Child Care and Youth Development (SECCYD),harris2025,2025,Harris et al. (2025),1364,2,2,15,15,FALSE,11,2;3;4;5;6;7;8;9;10;11;15,CBCL 2-3; CBCL 4-18; C-TRF; TRF; YSR,constructValid,n/a,raw,developmentalScaling,TRUE,United States,North America,
snap,Special Needs and Autism Project (SNAP),stringer2020,2020,Stringer et al. (2020),158,10,14,21,25,FALSE,3,11.6;15.5;23.2,SDQ 11-17; SDQ 18+ (parent report),constructValid,n/a,raw,sum,FALSE,United Kingdom,Europe,
